   0.000    0.000   -0.509
   0.250    0.000   -0.969
   0.500    0.000   -0.861
   0.750    0.000   -0.249
   1.000    0.000    0.509
   1.250    0.000    0.969
   1.500    0.000    0.861
   1.750    0.000    0.249
   2.000    0.000   -0.509
   2.250    0.000   -0.969
   2.500    0.000   -0.861
   2.750    0.000   -0.249
   3.000    0.000    0.509
   3.250    0.000    0.969
   3.500    0.000    0.861
   3.750    0.000    0.249
   4.000    0.000   -0.509
   0.000    0.250    0.249
   0.250    0.250   -0.509
   0.500    0.250   -0.969
   0.750    0.250   -0.861
   1.000    0.250   -0.249
   1.250    0.250    0.509
   1.500    0.250    0.969
   1.750    0.250    0.861
   2.000    0.250    0.249
   2.250    0.250   -0.509
   2.500    0.250   -0.969
   2.750    0.250   -0.861
   3.000    0.250   -0.249
   3.250    0.250    0.509
   3.500    0.250    0.969
   3.750    0.250    0.861
   4.000    0.250    0.249
   0.000    0.500    0.861
   0.250    0.500    0.249
   0.500    0.500   -0.509
   0.750    0.500   -0.969
   1.000    0.500   -0.861
   1.250    0.500   -0.249
   1.500    0.500    0.509
   1.750    0.500    0.969
   2.000    0.500    0.861
   2.250    0.500    0.249
   2.500    0.500   -0.509
   2.750    0.500   -0.969
   3.000    0.500   -0.861
   3.250    0.500   -0.249
   3.500    0.500    0.509
   3.750    0.500    0.969
   4.000    0.500    0.861
   0.000    0.750    0.969
   0.250    0.750    0.861
   0.500    0.750    0.249
   0.750    0.750   -0.509
   1.000    0.750   -0.969
   1.250    0.750   -0.861
   1.500    0.750   -0.249
   1.750    0.750    0.509
   2.000    0.750    0.969
   2.250    0.750    0.861
   2.500    0.750    0.249
   2.750    0.750   -0.509
   3.000    0.750   -0.969
   3.250    0.750   -0.861
   3.500    0.750   -0.249
   3.750    0.750    0.509
   4.000    0.750    0.969
   0.000    1.000    0.509
   0.250    1.000    0.969
   0.500    1.000    0.861
   0.750    1.000    0.249
   1.000    1.000   -0.509
   1.250    1.000   -0.969
   1.500    1.000   -0.861
   1.750    1.000   -0.249
   2.000    1.000    0.509
   2.250    1.000    0.969
   2.500    1.000    0.861
   2.750    1.000    0.249
   3.000    1.000   -0.509
   3.250    1.000   -0.969
   3.500    1.000   -0.861
   3.750    1.000   -0.249
   4.000    1.000    0.509
   0.000    1.250   -0.249
   0.250    1.250    0.509
   0.500    1.250    0.969
   0.750    1.250    0.861
   1.000    1.250    0.249
   1.250    1.250   -0.509
   1.500    1.250   -0.969
   1.750    1.250   -0.861
   2.000    1.250   -0.249
   2.250    1.250    0.509
   2.500    1.250    0.969
   2.750    1.250    0.861
   3.000    1.250    0.249
   3.250    1.250   -0.509
   3.500    1.250   -0.969
   3.750    1.250   -0.861
   4.000    1.250   -0.249
   0.000    1.500   -0.861
   0.250    1.500   -0.249
   0.500    1.500    0.509
   0.750    1.500    0.969
   1.000    1.500    0.861
   1.250    1.500    0.249
   1.500    1.500   -0.509
   1.750    1.500   -0.969
   2.000    1.500   -0.861
   2.250    1.500   -0.249
   2.500    1.500    0.509
   2.750    1.500    0.969
   3.000    1.500    0.861
   3.250    1.500    0.249
   3.500    1.500   -0.509
   3.750    1.500   -0.969
   4.000    1.500   -0.861
   0.000    1.750   -0.969
   0.250    1.750   -0.861
   0.500    1.750   -0.249
   0.750    1.750    0.509
   1.000    1.750    0.969
   1.250    1.750    0.861
   1.500    1.750    0.249
   1.750    1.750   -0.509
   2.000    1.750   -0.969
   2.250    1.750   -0.861
   2.500    1.750   -0.249
   2.750    1.750    0.509
   3.000    1.750    0.969
   3.250    1.750    0.861
   3.500    1.750    0.249
   3.750    1.750   -0.509
   4.000    1.750   -0.969
   0.000    2.000   -0.509
   0.250    2.000   -0.969
   0.500    2.000   -0.861
   0.750    2.000   -0.249
   1.000    2.000    0.509
   1.250    2.000    0.969
   1.500    2.000    0.861
   1.750    2.000    0.249
   2.000    2.000   -0.509
   2.250    2.000   -0.969
   2.500    2.000   -0.861
   2.750    2.000   -0.249
   3.000    2.000    0.509
   3.250    2.000    0.969
   3.500    2.000    0.861
   3.750    2.000    0.249
   4.000    2.000   -0.509
